,first_name,last_name,address,city,county,state,phone1,phone2,email,qtr1,qtr2,qtr3,qtr4,Median
14,Cammy,Albares,56 E Morehead St,Laredo,Webb,TX,956-537-6195,956-841-7216,calbares@gmail.com,87,94,81,83,85.0
15,Mattie,Poquette,73 State Road 434 E,Phoenix,Maricopa,AZ,602-277-4385,602-953-6360,mattie@aol.com,92,92,82,84,88.0
16,Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,Warren,TN,931-313-9635,931-235-7959,meaghan@hotmail.com,93,92,88,83,90.0
17,Gladys,Rim,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,414-661-9598,414-377-2880,gladys.rim@rim.org,85,73,92,73,79.0
18,Yuki,Whobrey,1 State Route 27,Taylor,Wayne,MI,313-288-7937,313-341-4470,yuki_whobrey@aol.com,84,87,83,77,83.5
19,Fletcher,Flosi,394 Manchester Blvd,Rockford,Winnebago,IL,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,84,74,86,90,85.0
20,Bette,Nicka,6 S 33rd St,Aston,Delaware,PA,610-545-3615,610-492-4643,bette_nicka@cox.net,87,89,98,81,88.0
21,Veronika,Inouye,6 Greenleaf Ave,San Jose,Santa Clara,CA,408-540-1785,408-813-4592,vinouye@aol.com,77,95,84,86,85.0
22,Willard,Kolmetz,618 W Yakima Ave,Irving,Dallas,TX,972-303-9197,972-896-4882,willard@hotmail.com,92,83,80,93,87.5
23,Maryann,Royster,74 S Westgate St,Albany,Albany,NY,518-966-7987,518-448-8982,mroyster@royster.com,90,94,89,77,89.5
24,Alisha,Slusarski,3273 State St,Middlesex,Middlesex,NJ,732-658-3154,732-635-3453,alisha@slusarski.com,98,88,75,88,88.0
25,Allene,Iturbide,1 Central Ave,Stevens Point,Portage,WI,715-662-6764,715-530-9863,allene_iturbide@cox.net,81,91,79,91,86.0
26,Chanel,Caudy,86 Nw 66th St #8673,Shawnee,Johnson,KS,913-388-2079,913-899-1103,chanel.caudy@caudy.org,98,79,76,89,84.0
27,Ezekiel,Chui,2 Cedar Ave #84,Easton,Talbot,MD,410-669-1642,410-235-8738,ezekiel@chui.com,74,96,76,91,83.5
28,Willow,Kusko,90991 Thorburn Ave,New York,New York,NY,212-582-4976,212-934-5167,wkusko@yahoo.com,86,90,75,90,88.0
29,Bernardo,Figeroa,386 9th Ave N,Conroe,Montgomery,TX,936-336-3951,936-597-3614,bfigeroa@aol.com,98,77,89,88,88.5
30,Ammie,Corrio,74874 Atlantic Ave,Columbus,Franklin,OH,614-801-9788,614-648-3265,ammie@corrio.com,89,86,77,97,87.5
31,Francine,Vocelka,366 South Dr,Las Cruces,Dona Ana,NM,505-977-3911,505-335-5293,francine_vocelka@vocelka.com,77,87,74,85,81.0
32,Ernie,Stenseth,45 E Liberty St,Ridgefield Park,Bergen,NJ,201-709-6245,201-387-9093,ernie_stenseth@aol.com,95,79,90,78,84.5
33,Albina,Glick,4 Ralph Ct,Dunellen,Middlesex,NJ,732-924-7882,732-782-6701,albina@glick.com,81,84,79,90,82.5
34,Alishia,Sergi,2742 Distribution Way,New York,New York,NY,212-860-1579,212-753-2740,asergi@gmail.com,86,91,89,86,87.5
35,Solange,Shinko,426 Wolf St,Metairie,Jefferson,LA,504-979-9175,504-265-8174,solange@shinko.com,77,93,82,78,80.0
36,Jose,Stockham,128 Bransten Rd,New York,New York,NY,212-675-8570,212-569-4233,jose@yahoo.com,81,78,96,89,85.0
37,Rozella,Ostrosky,17 Morena Blvd,Camarillo,Ventura,CA,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com,91,74,94,94,92.5
38,Valentine,Gillian,775 W 17th St,San Antonio,Bexar,TX,210-812-9597,210-300-6244,valentine_gillian@gmail.com,94,75,79,96,86.5
39,Kati,Rulapaugh,6980 Dorsett Rd,Abilene,Dickinson,KS,785-463-7829,785-219-7724,kati.rulapaugh@hotmail.com,85,75,90,92,87.5
40,Youlanda,Schemmer,2881 Lewis Rd,Prineville,Crook,OR,541-548-8197,541-993-2611,youlanda@aol.com,93,80,88,74,84.0
41,Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,Johnson,KS,913-413-4604,913-645-8918,doldroyd@aol.com,80,84,77,83,81.5
42,Roxane,Campain,1048 Main St,Fairbanks,Fairbanks North Star,AK,907-231-4722,907-335-6568,roxane@hotmail.com,83,77,82,84,82.5
43,Lavera,Perin,678 3rd Ave,Miami,Miami-Dade,FL,305-606-7291,305-995-2078,lperin@perin.org,91,95,79,77,85.0
44,Erick,Ferencz,20 S Babcock St,Fairbanks,Fairbanks North Star,AK,907-741-1044,907-227-6777,erick.ferencz@aol.com,89,78,79,90,84.0
45,Fatima,Saylors,2 Lighthouse Ave,Hopkins,Hennepin,MN,952-768-2416,952-479-2375,fsaylors@saylors.org,98,74,87,97,92.0
46,Jina,Briddick,38938 Park Blvd,Boston,Suffolk,MA,617-399-5124,617-997-5771,jina_briddick@briddick.com,73,91,88,95,89.5
47,Kanisha,Waycott,5 Tomahawk Dr,Los Angeles,Los Angeles,CA,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com,83,89,83,91,86.0
48,Emerson,Bowley,762 S Main St,Madison,Dane,WI,608-336-7444,608-658-7940,emerson.bowley@bowley.org,82,88,95,74,85.0
49,Blair,Malet,209 Decker Dr,Philadelphia,Philadelphia,PA,215-907-9111,215-794-4519,bmalet@yahoo.com,91,76,84,87,85.5
50,Brock,Bolognia,4486 W O St #1,New York,New York,NY,212-402-9216,212-617-5063,bbolognia@yahoo.com,90,84,87,83,85.5
51,Lorrie,Nestle,39 S 7th St,Tullahoma,Coffee,TN,931-875-6644,931-303-6041,lnestle@hotmail.com,94,90,97,84,92.0
52,Sabra,Uyetake,98839 Hawthorne Blvd #6101,Columbia,Richland,SC,803-925-5213,803-681-3678,sabra@uyetake.org,91,87,89,98,90.0
53,Marjory,Mastella,71 San Mateo Ave,Wayne,Delaware,PA,610-814-5533,610-379-7125,mmastella@mastella.com,78,85,89,97,87.0
54,Karl,Klonowski,76 Brooks St #9,Flemington,Hunterdon,NJ,908-877-6135,908-470-4661,karl_klonowski@yahoo.com,80,95,76,97,87.5
55,Tonette,Wenner,4545 Courthouse Rd,Westbury,Nassau,NY,516-968-6051,516-333-4861,twenner@aol.com,74,89,91,77,83.0
56,Amber,Monarrez,14288 Foster Ave #4121,Jenkintown,Montgomery,PA,215-934-8655,215-329-6386,amber_monarrez@monarrez.org,91,80,86,84,85.0
57,Shenika,Seewald,4 Otis St,Van Nuys,Los Angeles,CA,818-423-4007,818-749-8650,shenika@gmail.com,98,83,92,75,87.5
58,Delmy,Ahle,65895 S 16th St,Providence,Providence,RI,401-458-2547,401-559-8961,delmy.ahle@hotmail.com,97,89,81,76,85.0
59,Deeanna,Juhas,14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,215-211-9589,215-417-9563,deeanna_juhas@gmail.com,77,98,95,89,92.0
60,Blondell,Pugh,201 Hawk Ct,Providence,Providence,RI,401-960-8259,401-300-8122,bpugh@aol.com,82,80,83,81,81.5
61,Jamal,Vanausdal,53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,732-234-1546,732-904-2931,jamal@vanausdal.org,89,87,89,77,88.0
62,Cecily,Hollack,59 N Groesbeck Hwy,Austin,Travis,TX,512-486-3817,512-861-3814,cecily@hollack.org,73,76,96,91,83.5
63,Carmelina,Lindall,2664 Lewis Rd,Littleton,Douglas,CO,303-724-7371,303-874-5160,carmelina_lindall@lindall.com,93,73,78,98,85.5
64,Maurine,Yglesias,59 Shady Ln #53,Milwaukee,Milwaukee,WI,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com,80,88,85,88,86.5
65,Tawna,Buvens,3305 Nabell Ave #679,New York,New York,NY,212-674-9610,212-462-9157,tawna@gmail.com,97,85,78,83,84.0
66,Penney,Weight,18 Fountain St,Anchorage,Anchorage,AK,907-797-9628,907-873-2882,penney_weight@aol.com,75,80,98,93,86.5
67,Elly,Morocco,7 W 32nd St,Erie,Erie,PA,814-393-5571,814-420-3553,elly_morocco@gmail.com,74,90,94,82,86.0
68,Ilene,Eroman,2853 S Central Expy,Glen Burnie,Anne Arundel,MD,410-914-9018,410-937-4543,ilene.eroman@hotmail.com,95,97,89,90,92.5
69,Vallie,Mondella,74 W College St,Boise,Ada,ID,208-862-5339,208-737-8439,vmondella@mondella.com,82,84,87,95,85.5
70,Kallie,Blackwood,701 S Harrison Rd,San Francisco,San Francisco,CA,415-315-2761,415-604-7609,kallie.blackwood@gmail.com,79,96,89,87,88.0
71,Johnetta,Abdallah,1088 Pinehurst St,Chapel Hill,Orange,NC,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,82,74,91,77,79.5
72,Bobbye,Rhym,30 W 80th St #1995,San Carlos,San Mateo,CA,650-528-5783,650-811-9032,brhym@rhym.com,97,95,76,92,93.5
73,Micaela,Rhymes,20932 Hedley St,Concord,Contra Costa,CA,925-647-3298,925-522-7798,micaela_rhymes@gmail.com,86,87,84,96,86.5
74,Tamar,Hoogland,2737 Pistorio Rd #9230,London,Madison,OH,740-343-8575,740-526-5410,tamar@hotmail.com,74,92,78,84,81.0
75,Moon,Parlato,74989 Brandon St,Wellsville,Allegany,NY,585-866-8313,585-498-4278,moon@yahoo.com,83,86,79,78,81.0
76,Laurel,Reitler,6 Kains Ave,Baltimore,Baltimore City,MD,410-520-4832,410-957-6903,laurel_reitler@reitler.com,93,92,76,83,87.5
77,Delisa,Crupi,47565 W Grand Ave,Newark,Essex,NJ,973-354-2040,973-847-9611,delisa.crupi@crupi.com,97,95,94,96,95.5
78,Viva,Toelkes,4284 Dorigo Ln,Chicago,Cook,IL,773-446-5569,773-352-3437,viva.toelkes@gmail.com,91,75,75,88,81.5
79,Elza,Lipke,6794 Lake Dr E,Newark,Essex,NJ,973-927-3447,973-796-3667,elza@yahoo.com,78,90,75,86,82.0
80,Devorah,Chickering,31 Douglas Blvd #950,Clovis,Curry,NM,505-975-8559,505-950-1763,devorah@hotmail.com,78,97,84,90,87.0
81,Timothy,Mulqueen,44 W 4th St,Staten Island,Richmond,NY,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org,82,77,73,84,79.5
82,Arlette,Honeywell,11279 Loytan St,Jacksonville,Duval,FL,904-775-4480,904-514-9918,ahoneywell@honeywell.com,76,81,74,81,78.5
83,Dominque,Dickerson,69 Marquette Ave,Hayward,Alameda,CA,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org,77,92,96,88,90.0
84,Lettie,Isenhower,70 W Main St,Beachwood,Cuyahoga,OH,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com,85,96,82,90,87.5
85,Myra,Munns,461 Prospect Pl #316,Euless,Tarrant,TX,817-914-7518,817-451-3518,mmunns@cox.net,85,96,88,92,90.0
86,Stephaine,Barfield,47154 Whipple Ave Nw,Gardena,Los Angeles,CA,310-774-7643,310-968-1219,stephaine@barfield.com,96,91,96,94,95.0
87,Lai,Gato,37 Alabama Ave,Evanston,Cook,IL,847-728-7286,847-957-4614,lai.gato@gato.org,94,81,77,88,84.5
88,Stephen,Emigh,3777 E Richmond St #900,Akron,Summit,OH,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,95,98,94,85,94.5
89,Tyra,Shields,3 Fort Worth Ave,Philadelphia,Philadelphia,PA,215-255-1641,215-228-8264,tshields@gmail.com,90,97,97,95,96.0
90,Tammara,Wardrip,4800 Black Horse Pike,Burlingame,San Mateo,CA,650-803-1936,650-216-5075,twardrip@cox.net,78,73,78,89,78.0
91,Cory,Gibes,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,626-572-1096,626-696-2777,cory.gibes@gmail.com,74,86,93,82,84.0
92,Danica,Bruschke,840 15th Ave,Waco,McLennan,TX,254-782-8569,254-205-1422,danica_bruschke@gmail.com,85,81,74,92,83.0
93,Wilda,Giguere,1747 Calle Amanecer #2,Anchorage,Anchorage,AK,907-870-5536,907-914-9482,wilda@cox.net,83,79,90,95,86.5
94,Elvera,Benimadho,99385 Charity St #840,San Jose,Santa Clara,CA,408-703-8505,408-440-8447,elvera.benimadho@cox.net,74,83,98,73,78.5
95,Carma,Vanheusen,68556 Central Hwy,San Leandro,Alameda,CA,510-503-7169,510-452-4835,carma@cox.net,86,89,81,97,87.5
96,Malinda,Hochard,55 Riverside Ave,Indianapolis,Marion,IN,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,81,74,83,84,82.0
97,Natalie,Fern,7140 University Ave,Rock Springs,Sweetwater,WY,307-704-8713,307-279-3793,natalie.fern@hotmail.com,92,76,84,77,80.5
98,Lisha,Centini,64 5th Ave #1153,Mc Lean,Fairfax,VA,703-235-3937,703-475-7568,lisha@centini.org,93,87,81,73,84.0
99,Arlene,Klusman,3 Secor Rd,New Orleans,Orleans,LA,504-710-5840,504-946-1807,arlene_klusman@gmail.com,83,93,84,75,83.5
100,Alease,Buemi,4 Webbs Chapel Rd,Boulder,Boulder,CO,303-301-4946,303-521-9860,alease@buemi.com,78,76,93,88,83.0
101,Louisa,Cronauer,524 Louisiana Ave Nw,San Leandro,Alameda,CA,510-828-7047,510-472-7758,louisa@cronauer.com,80,85,77,85,82.5
102,Angella,Cetta,185 Blackstone Bldge,Honolulu,Honolulu,HI,808-892-7943,808-475-2310,angella.cetta@hotmail.com,93,88,90,98,91.5
103,Cyndy,Goldammer,170 Wyoming Ave,Burnsville,Dakota,MN,952-334-9408,952-938-9457,cgoldammer@cox.net,92,95,94,92,93.0
104,Rosio,Cork,4 10th St W,High Point,Guilford,NC,336-243-5659,336-497-4407,rosio.cork@gmail.com,80,96,74,74,77.0
105,Celeste,Korando,7 W Pinhook Rd,Lynbrook,Nassau,NY,516-509-2347,516-365-7266,ckorando@hotmail.com,80,84,81,91,82.5
106,Twana,Felger,1 Commerce Way,Portland,Washington,OR,503-939-3153,503-909-7167,twana.felger@felger.org,80,86,80,78,80.0
107,Estrella,Samu,64 Lakeview Ave,Beloit,Rock,WI,608-976-7199,608-942-8836,estrella@aol.com,89,86,92,97,90.5
108,Donte,Kines,3 Aspen St,Worcester,Worcester,MA,508-429-8576,508-843-1426,dkines@hotmail.com,94,97,94,79,94.0
109,Tiffiny,Steffensmeier,32860 Sierra Rd,Miami,Miami-Dade,FL,305-385-9695,305-304-6573,tiffiny_steffensmeier@cox.net,98,83,96,86,91.0
110,Edna,Miceli,555 Main St,Erie,Erie,PA,814-460-2655,814-299-2877,emiceli@miceli.org,75,94,97,85,89.5
111,Sue,Kownacki,2 Se 3rd Ave,Mesquite,Dallas,TX,972-666-3413,972-742-4000,sue@aol.com,95,82,86,96,90.5
112,Jesusa,Shin,2239 Shawnee Mission Pky,Tullahoma,Coffee,TN,931-273-8709,931-739-1551,jshin@shin.com,93,75,90,74,82.5
113,Rolland,Francescon,2726 Charcot Ave,Paterson,Passaic,NJ,973-649-2922,973-284-4048,rolland@cox.net,75,86,73,89,80.5
114,Pamella,Schmierer,5161 Dorsett Rd,Homestead,Miami-Dade,FL,305-420-8970,305-575-8481,pamella.schmierer@schmierer.org,98,85,82,92,88.5
115,Glory,Kulzer,55892 Jacksonville Rd,Owings Mills,Baltimore,MD,410-224-9462,410-916-8015,gkulzer@kulzer.org,88,78,73,73,75.5
116,Shawna,Palaspas,5 N Cleveland Massillon Rd,Thousand Oaks,Ventura,CA,805-275-3566,805-638-6617,shawna_palaspas@palaspas.org,73,78,93,75,76.5
117,Brandon,Callaro,7 Benton Dr,Honolulu,Honolulu,HI,808-215-6832,808-240-5168,brandon_callaro@hotmail.com,85,88,82,95,86.5
118,Scarlet,Cartan,9390 S Howell Ave,Albany,Dougherty,GA,229-735-3378,229-365-9658,scarlet.cartan@yahoo.com,93,95,74,84,88.5
119,Oretha,Menter,8 County Center Dr #647,Boston,Suffolk,MA,617-418-5043,617-697-6024,oretha_menter@yahoo.com,84,81,73,91,82.5
120,Ty,Smith,4646 Kaahumanu St,Hackensack,Bergen,NJ,201-672-1553,201-995-3149,tsmith@aol.com,79,74,87,94,83.0
121,Xuan,Rochin,2 Monroe St,San Mateo,San Mateo,CA,650-933-5072,650-247-2625,xuan@gmail.com,74,84,80,89,82.0
122,Lindsey,Dilello,52777 Leaders Heights Rd,Ontario,San Bernardino,CA,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com,78,76,83,91,80.5
123,Devora,Perez,72868 Blackington Ave,Oakland,Alameda,CA,510-955-3016,510-755-9274,devora_perez@perez.org,80,89,82,78,81.0
124,Herman,Demesa,9 Norristown Rd,Troy,Rensselaer,NY,518-497-2940,518-931-7852,hdemesa@cox.net,92,87,96,75,89.5
125,Rory,Papasergi,83 County Road 437 #8581,Clarks Summit,Lackawanna,PA,570-867-7489,570-469-8401,rpapasergi@cox.net,83,93,80,80,81.5
126,Talia,Riopelle,1 N Harlem Ave #9,Orange,Essex,NJ,973-245-2133,973-818-9788,talia_riopelle@aol.com,76,81,89,97,85.0
127,Van,Shire,90131 J St,Pittstown,Hunterdon,NJ,908-409-2890,908-448-1209,van.shire@shire.com,97,86,81,74,83.5
128,Lucina,Lary,8597 W National Ave,Cocoa,Brevard,FL,321-749-4981,321-632-4668,lucina_lary@cox.net,90,77,76,81,79.0
129,Bok,Isaacs,6 Gilson St,Bronx,Bronx,NY,718-809-3762,718-478-8568,bok.isaacs@aol.com,86,87,92,91,89.0
130,Rolande,Spickerman,65 W Maple Ave,Pearl City,Honolulu,HI,808-315-3077,808-526-5863,rolande.spickerman@spickerman.com,85,87,92,93,89.5
131,Howard,Paulas,866 34th Ave,Denver,Denver,CO,303-623-4241,303-692-3118,hpaulas@gmail.com,81,94,78,79,80.0
132,Kimbery,Madarang,798 Lund Farm Way,Rockaway,Morris,NJ,973-310-1634,973-225-6259,kimbery_madarang@cox.net,96,93,94,84,93.5
133,Thurman,Manno,9387 Charcot Ave,Absecon,Atlantic,NJ,609-524-3586,609-234-8376,thurman.manno@yahoo.com,94,94,91,77,92.5
134,Becky,Mirafuentes,30553 Washington Rd,Plainfield,Union,NJ,908-877-8409,908-426-8272,becky.mirafuentes@mirafuentes.com,73,79,77,97,78.0
135,Beatriz,Corrington,481 W Lemon St,Middleboro,Plymouth,MA,508-584-4279,508-315-3867,beatriz@yahoo.com,92,86,97,87,89.5
136,Marti,Maybury,4 Warehouse Point Rd #7,Chicago,Cook,IL,773-775-4522,773-539-1058,marti.maybury@yahoo.com,98,77,75,89,83.0
137,Nieves,Gotter,4940 Pulaski Park Dr,Portland,Multnomah,OR,503-527-5274,503-455-3094,nieves_gotter@gmail.com,91,78,96,83,87.0
138,Leatha,Hagele,627 Walford Ave,Dallas,Dallas,TX,214-339-1809,214-225-5850,lhagele@cox.net,81,90,86,86,86.0
139,Valentin,Klimek,137 Pioneer Way,Chicago,Cook,IL,312-303-5453,312-512-2338,vklimek@klimek.org,86,92,94,76,89.0
140,Melissa,Wiklund,61 13 Stoneridge #835,Findlay,Hancock,OH,419-939-3613,419-254-4591,melissa@cox.net,83,94,86,91,88.5
141,Sheridan,Zane,2409 Alabama Rd,Riverside,Riverside,CA,951-645-3605,951-248-6822,sheridan.zane@zane.com,98,91,85,95,93.0
142,Bulah,Padilla,8927 Vandever Ave,Waco,McLennan,TX,254-463-4368,254-816-8417,bulah_padilla@hotmail.com,81,78,92,96,86.5
143,Audra,Kohnert,134 Lewis Rd,Nashville,Davidson,TN,615-406-7854,615-448-9249,audra@kohnert.com,98,98,84,77,91.0
144,Daren,Weirather,9 N College Ave #3,Milwaukee,Milwaukee,WI,414-959-2540,414-838-3151,dweirather@aol.com,85,90,74,82,83.5
145,Fernanda,Jillson,60480 Old Us Highway 51,Preston,Caroline,MD,410-387-5260,410-724-6472,fjillson@aol.com,88,78,87,73,82.5
146,Gearldine,Gellinger,4 Bloomfield Ave,Irving,Dallas,TX,972-934-6914,972-821-7118,gearldine_gellinger@gellinger.com,93,96,87,85,90.0
147,Chau,Kitzman,429 Tiger Ln,Beverly Hills,Los Angeles,CA,310-560-8022,310-969-7230,chau@gmail.com,87,98,85,89,88.0
148,Theola,Frey,54169 N Main St,Massapequa,Nassau,NY,516-948-5768,516-357-3362,theola_frey@frey.com,94,75,73,81,78.0
149,Cheryl,Haroldson,92 Main St,Atlantic City,Atlantic,NJ,609-518-7697,609-263-9243,cheryl@haroldson.org,73,75,81,73,74.0
150,Laticia,Merced,72 Mannix Dr,Cincinnati,Hamilton,OH,513-508-7371,513-418-1566,lmerced@gmail.com,97,83,80,91,87.0
151,Carissa,Batman,12270 Caton Center Dr,Eugene,Lane,OR,541-326-4074,541-801-5717,carissa.batman@yahoo.com,86,93,80,91,88.5
152,Lezlie,Craghead,749 W 18th St #45,Smithfield,Johnston,NC,919-533-3762,919-885-2453,lezlie.craghead@craghead.org,91,95,73,74,82.5
153,Ozell,Shealy,8 Industry Ln,New York,New York,NY,212-332-8435,212-880-8865,oshealy@hotmail.com,83,74,89,85,84.0
154,Arminda,Parvis,1 Huntwood Ave,Phoenix,Maricopa,AZ,602-906-9419,602-277-3025,arminda@parvis.com,94,95,98,94,94.5
155,Reita,Leto,55262 N French Rd,Indianapolis,Marion,IN,317-234-1135,317-787-5514,reita.leto@gmail.com,78,82,84,81,81.5
156,Yolando,Luczki,422 E 21st St,Syracuse,Onondaga,NY,315-304-4759,315-640-6357,yolando@cox.net,78,79,80,95,79.5
157,Lizette,Stem,501 N 19th Ave,Cherry Hill,Camden,NJ,856-487-5412,856-702-3676,lizette.stem@aol.com,95,83,78,77,80.5
158,Gregoria,Pawlowicz,455 N Main Ave,Garden City,Nassau,NY,516-212-1915,516-376-4230,gpawlowicz@yahoo.com,74,91,98,82,86.5
159,Carin,Deleo,1844 Southern Blvd,Little Rock,Pulaski,AR,501-308-1040,501-409-6072,cdeleo@deleo.com,94,75,77,75,76.0
160,Chantell,Maynerich,2023 Greg St,Saint Paul,Ramsey,MN,651-591-2583,651-776-9688,chantell@yahoo.com,88,87,98,98,93.0
161,Dierdre,Yum,63381 Jenks Ave,Philadelphia,Philadelphia,PA,215-325-3042,215-346-4666,dyum@yahoo.com,89,83,73,91,86.0
162,Larae,Gudroe,6651 Municipal Rd,Houma,Terrebonne,LA,985-890-7262,985-261-5783,larae_gudroe@gmail.com,74,76,96,88,82.0
163,Latrice,Tolfree,81 Norris Ave #525,Ronkonkoma,Suffolk,NY,631-957-7624,631-998-2102,latrice.tolfree@hotmail.com,82,94,81,90,86.0
164,Kerry,Theodorov,6916 W Main St,Sacramento,Sacramento,CA,916-591-3277,916-770-7448,kerry.theodorov@gmail.com,95,95,94,79,94.5
165,Dorthy,Hidvegi,9635 S Main St,Boise,Ada,ID,208-649-2373,208-690-3315,dhidvegi@yahoo.com,89,89,77,77,83.0
166,Fannie,Lungren,17 Us Highway 111,Round Rock,Williamson,TX,512-587-5746,512-528-9933,fannie.lungren@yahoo.com,79,94,93,92,92.5
167,Evangelina,Radde,992 Civic Center Dr,Philadelphia,Philadelphia,PA,215-964-3284,215-417-5612,evangelina@aol.com,81,92,82,98,87.0
168,Novella,Degroot,303 N Radcliffe St,Hilo,Hawaii,HI,808-477-4775,808-746-1865,novella_degroot@degroot.org,78,84,86,85,84.5
169,Clay,Hoa,73 Saint Ann St #86,Reno,Washoe,NV,775-501-8109,775-848-9135,choa@hoa.org,81,78,78,95,79.5
170,Jennifer,Fallick,44 58th St,Wheeling,Cook,IL,847-979-9545,847-800-3054,jfallick@yahoo.com,90,84,91,83,87.0
171,Irma,Wolfgramm,9745 W Main St,Randolph,Morris,NJ,973-545-7355,973-868-8660,irma.wolfgramm@hotmail.com,92,88,91,90,90.5
172,Eun,Coody,84 Bloomfield Ave,Spartanburg,Spartanburg,SC,864-256-3620,864-594-4578,eun@yahoo.com,95,94,74,79,86.5
173,Sylvia,Cousey,287 Youngstown Warren Rd,Hampstead,Carroll,MD,410-209-9545,410-863-8263,sylvia_cousey@cousey.org,73,84,73,74,73.5
174,Nana,Wrinkles,6 Van Buren St,Mount Vernon,Westchester,NY,914-855-2115,914-796-3775,nana@aol.com,85,96,85,97,90.5
175,Layla,Springe,229 N Forty Driv,New York,New York,NY,212-260-3151,212-253-7448,layla.springe@cox.net,75,96,92,90,91.0
176,Joesph,Degonia,2887 Knowlton St #5435,Berkeley,Alameda,CA,510-677-9785,510-942-5916,joesph_degonia@degonia.org,75,93,83,76,79.5
177,Annabelle,Boord,523 Marquette Ave,Concord,Middlesex,MA,978-697-6263,978-289-7717,annabelle.boord@cox.net,83,94,79,87,85.0
178,Stephaine,Vinning,3717 Hamann Industrial Pky,San Francisco,San Francisco,CA,415-767-6596,415-712-9530,stephaine@cox.net,78,94,87,87,87.0
179,Nelida,Sawchuk,3 State Route 35 S,Paramus,Bergen,NJ,201-971-1638,201-247-8925,nelida@gmail.com,76,98,96,76,86.0
180,Marguerita,Hiatt,82 N Highway 67,Oakley,Contra Costa,CA,925-634-7158,925-541-8521,marguerita.hiatt@gmail.com,92,86,79,76,82.5
181,Carmela,Cookey,9 Murfreesboro Rd,Chicago,Cook,IL,773-494-4195,773-297-9391,ccookey@cookey.org,78,89,96,81,85.0
182,Junita,Brideau,6 S Broadway St,Cedar Grove,Essex,NJ,973-943-3423,973-582-5469,jbrideau@aol.com,79,96,83,75,81.0
183,Claribel,Varriano,6 Harry L Dr #6327,Perrysburg,Wood,OH,419-544-4900,419-573-2033,claribel_varriano@cox.net,84,82,73,89,83.0
184,Benton,Skursky,47939 Porter Ave,Gardena,Los Angeles,CA,310-579-2907,310-694-8466,benton.skursky@aol.com,73,83,91,94,87.0
